timestamp,open,high,low,close,volume,datetime
1735686000000,93300.0,93582.0,93237.0,93381.0,4.85993693,2024-12-31 23:00:00
1735689600000,93347.0,94272.0,93318.0,94211.0,63.60429213,2025-01-01 00:00:00
1735693200000,94188.0,94188.0,93416.0,93421.0,41.00016881,2025-01-01 01:00:00
1735696800000,93421.0,93893.0,93416.0,93858.0,8.5027869,2025-01-01 02:00:00
1735700400000,93823.0,93825.0,93533.0,93629.0,16.80726411,2025-01-01 03:00:00
1735704000000,93629.0,93629.0,93338.0,93355.0,16.91378859,2025-01-01 04:00:00
1735707600000,93355.0,93668.0,93345.0,93565.0,16.50219419,2025-01-01 05:00:00
1735711200000,93572.0,93573.0,93355.0,93542.0,17.46878279,2025-01-01 06:00:00
1735714800000,93551.0,93591.0,93441.0,93475.0,12.94849861,2025-01-01 07:00:00
1735718400000,93495.0,93541.0,93126.0,93251.0,22.32762188,2025-01-01 08:00:00
1735722000000,93245.0,93300.0,92768.0,93219.0,77.87750159,2025-01-01 09:00:00
1735725600000,93185.0,93349.0,93091.0,93106.0,36.75188528,2025-01-01 10:00:00
1735729200000,93133.0,93483.0,93007.0,93278.0,44.66453199,2025-01-01 11:00:00
1735732800000,93261.0,93753.0,93204.0,93623.0,40.73634375,2025-01-01 12:00:00
1735736400000,93615.0,93843.0,93415.0,93843.0,17.43335513,2025-01-01 13:00:00
1735740000000,93824.0,94229.0,93494.0,93978.0,86.15135168,2025-01-01 14:00:00
1735743600000,93979.0,94281.0,93718.0,94240.0,13.02674097,2025-01-01 15:00:00
1735747200000,94213.0,94265.0,93730.0,93901.0,35.74661688,2025-01-01 16:00:00
1735750800000,93902.0,93976.0,93562.0,93939.0,16.58078276,2025-01-01 17:00:00
1735754400000,93956.0,94154.0,93746.0,94144.0,40.51559205,2025-01-01 18:00:00
1735758000000,94127.0,94600.0,93922.0,94419.0,30.15983065,2025-01-01 19:00:00
1735761600000,94423.0,94657.0,94398.0,94597.0,30.73040591,2025-01-01 20:00:00
1735765200000,94625.0,94951.0,94488.0,94757.0,30.79339961,2025-01-01 21:00:00
1735768800000,94787.0,94787.0,94493.0,94608.0,25.26029123,2025-01-01 22:00:00
1735772400000,94607.0,94737.0,94357.0,94388.0,34.63539798,2025-01-01 23:00:00
1735776000000,94380.0,95170.0,94205.0,94900.0,139.71337962,2025-01-02 00:00:00
