timestamp,open,high,low,close,volume,datetime
1735686000000,93441.0,93695.0,93441.0,93635.0,0.01599377,2024-12-31 23:00:00
1735689600000,93547.0,94419.0,93519.0,94419.0,0.11725525,2025-01-01 00:00:00
1735693200000,94242.0,94242.0,93632.0,93632.0,0.09310037,2025-01-01 01:00:00
1735696800000,93809.0,93989.0,93809.0,93989.0,0.00129444,2025-01-01 02:00:00
1735700400000,93824.0,93871.0,93822.0,93822.0,0.0088873,2025-01-01 03:00:00
1735704000000,93724.0,93724.0,93536.0,93536.0,0.00438888,2025-01-01 04:00:00
1735707600000,93682.0,93858.0,93682.0,93858.0,0.07766855,2025-01-01 05:00:00
1735711200000,93682.0,93682.0,93623.0,93639.0,3.83608818,2025-01-01 06:00:00
1735714800000,93686.0,93768.0,93686.0,93768.0,0.05225067,2025-01-01 07:00:00
1735718400000,93707.0,93717.0,93336.0,93503.0,0.00982376,2025-01-01 08:00:00
1735722000000,93367.0,93406.0,92971.0,93390.0,0.28102608,2025-01-01 09:00:00
1735725600000,93480.0,93480.0,93480.0,93480.0,0.00115297,2025-01-01 10:00:00
1735729200000,93404.0,93539.0,93404.0,93539.0,0.10981571,2025-01-01 11:00:00
1735732800000,93452.0,93947.0,93452.0,93825.0,0.18892378,2025-01-01 12:00:00
1735736400000,93658.0,94053.0,93634.0,94053.0,0.01731744,2025-01-01 13:00:00
1735740000000,94116.0,94448.0,94000.0,94000.0,0.06865489,2025-01-01 14:00:00
1735743600000,94160.0,94423.0,93919.0,94423.0,0.26343342,2025-01-01 15:00:00
1735747200000,94484.0,94484.0,93955.0,94013.0,0.35473879,2025-01-01 16:00:00
1735750800000,94067.0,94067.0,93897.0,93915.0,0.03309097,2025-01-01 17:00:00
1735754400000,94294.0,94315.0,94197.0,94272.0,0.02736749,2025-01-01 18:00:00
1735758000000,94314.0,94653.0,94156.0,94635.0,0.4013553,2025-01-01 19:00:00
1735761600000,94671.0,94801.0,94595.0,94767.0,0.03482907,2025-01-01 20:00:00
1735765200000,94820.0,95061.0,94778.0,94920.0,0.0730392,2025-01-01 21:00:00
1735768800000,94990.0,94990.0,94756.0,94851.0,0.47038362,2025-01-01 22:00:00
1735772400000,94902.0,94910.0,94608.0,94608.0,0.15470088,2025-01-01 23:00:00
1735776000000,94596.0,95318.0,94440.0,95277.0,0.3151068,2025-01-02 00:00:00
1735779600000,95151.0,95442.0,94729.0,94875.0,0.32186792,2025-01-02 01:00:00
1735783200000,94870.0,95137.0,94870.0,95133.0,0.30685013,2025-01-02 02:00:00
1735786800000,95264.0,95264.0,95012.0,95012.0,0.01055025,2025-01-02 03:00:00
1735790400000,95149.0,95959.0,95131.0,95707.0,0.18251889,2025-01-02 04:00:00
1735794000000,95481.0,95690.0,95481.0,95690.0,0.13510156,2025-01-02 05:00:00
1735797600000,95564.0,95659.0,95403.0,95577.0,0.09873365,2025-01-02 06:00:00
1735801200000,95720.0,95873.0,95720.0,95836.0,0.31354987,2025-01-02 07:00:00
1735804800000,96000.0,96150.0,95674.0,96143.0,1.35358894,2025-01-02 08:00:00
1735808400000,96107.0,96663.0,96087.0,96663.0,0.38062457,2025-01-02 09:00:00
1735812000000,96663.0,96799.0,96580.0,96580.0,0.4108181,2025-01-02 10:00:00
1735815600000,96691.0,96756.0,96496.0,96714.0,0.00845828,2025-01-02 11:00:00
1735819200000,96802.0,96879.0,96645.0,96865.0,2.23054063,2025-01-02 12:00:00
1735822800000,96790.0,96892.0,96453.0,96453.0,0.07266246,2025-01-02 13:00:00
1735826400000,96453.0,97365.0,95967.0,97153.0,0.38471396,2025-01-02 14:00:00
1735830000000,97236.0,97236.0,96168.0,96503.0,0.76793972,2025-01-02 15:00:00
1735833600000,96207.0,97534.0,96095.0,97365.0,0.66975987,2025-01-02 16:00:00
1735837200000,97214.0,97492.0,96378.0,96470.0,0.13425114,2025-01-02 17:00:00
1735840800000,96516.0,97004.0,96516.0,96887.0,0.01481937,2025-01-02 18:00:00
1735844400000,97494.0,97709.0,97293.0,97556.0,1.34857724,2025-01-02 19:00:00
1735848000000,97799.0,97807.0,97368.0,97458.0,0.0660866,2025-01-02 20:00:00
1735851600000,97293.0,97293.0,97156.0,97235.0,2.28382331,2025-01-02 21:00:00
1735855200000,97130.0,97130.0,96744.0,96949.0,0.02146031,2025-01-02 22:00:00
1735858800000,96964.0,97045.0,96870.0,96970.0,0.07703867,2025-01-02 23:00:00
1735862400000,96917.0,96986.0,96864.0,96950.0,0.09732401,2025-01-03 00:00:00
1735866000000,96814.0,97006.0,96689.0,97006.0,0.07584115,2025-01-03 01:00:00
1735869600000,97099.0,97191.0,97058.0,97058.0,0.14742882,2025-01-03 02:00:00
1735873200000,96964.0,96964.0,96953.0,96953.0,0.0298112,2025-01-03 03:00:00
1735876800000,97053.0,97053.0,96900.0,96949.0,0.05460436,2025-01-03 04:00:00
1735880400000,96777.0,96796.0,96619.0,96796.0,0.09008614,2025-01-03 05:00:00
1735884000000,96731.0,96904.0,96577.0,96600.0,0.04298168,2025-01-03 06:00:00
1735887600000,96528.0,96540.0,96315.0,96326.0,0.01806636,2025-01-03 07:00:00
1735891200000,96306.0,96515.0,96127.0,96165.0,0.20419125,2025-01-03 08:00:00
1735894800000,96423.0,96655.0,96423.0,96596.0,0.00198162,2025-01-03 09:00:00
1735898400000,96553.0,96553.0,96468.0,96518.0,0.03018332,2025-01-03 10:00:00
1735902000000,96534.0,96796.0,96518.0,96762.0,0.17875821,2025-01-03 11:00:00
1735905600000,96851.0,96907.0,96740.0,96791.0,0.04241833,2025-01-03 12:00:00
1735909200000,96654.0,96818.0,96492.0,96541.0,0.04292731,2025-01-03 13:00:00
1735912800000,96610.0,97227.0,96583.0,97036.0,0.12655715,2025-01-03 14:00:00
1735916400000,96946.0,97614.0,96770.0,97529.0,0.14817904,2025-01-03 15:00:00
1735920000000,97717.0,98400.0,97478.0,97821.0,0.48567837,2025-01-03 16:00:00
1735923600000,97911.0,98267.0,97903.0,97952.0,0.24739975,2025-01-03 17:00:00
1735927200000,98006.0,98624.0,98006.0,98398.0,0.08114794,2025-01-03 18:00:00
1735930800000,98534.0,98955.0,98464.0,98605.0,0.18748432,2025-01-03 19:00:00
1735934400000,98420.0,98725.0,98377.0,98405.0,0.15144108,2025-01-03 20:00:00
1735938000000,98248.0,98317.0,98218.0,98265.0,0.27278487,2025-01-03 21:00:00
1735941600000,98271.0,98475.0,98255.0,98305.0,0.44056977,2025-01-03 22:00:00
1735945200000,98241.0,98241.0,98131.0,98131.0,0.0179621,2025-01-03 23:00:00
1735948800000,98256.0,98268.0,97894.0,97930.0,0.17148936,2025-01-04 00:00:00
1735952400000,97956.0,98022.0,97856.0,98022.0,0.00754473,2025-01-04 01:00:00
1735956000000,98032.0,98261.0,97892.0,98261.0,0.03107414,2025-01-04 02:00:00
1735959600000,98294.0,98294.0,98197.0,98197.0,0.00161744,2025-01-04 03:00:00
1735963200000,98052.0,98052.0,97867.0,97867.0,0.00580931,2025-01-04 04:00:00
1735966800000,98137.0,98204.0,98091.0,98128.0,0.06191068,2025-01-04 05:00:00
1735970400000,98125.0,98150.0,98052.0,98150.0,0.01605556,2025-01-04 06:00:00
1735974000000,98137.0,98307.0,98137.0,98229.0,0.0513702,2025-01-04 07:00:00
1735977600000,98293.0,98293.0,97941.0,97941.0,0.07084044,2025-01-04 08:00:00
1735981200000,97909.0,97928.0,97660.0,97660.0,0.06422629,2025-01-04 09:00:00
1735984800000,97647.0,97852.0,97647.0,97852.0,0.00559795,2025-01-04 10:00:00
1735988400000,97754.0,97853.0,97743.0,97843.0,0.0869907,2025-01-04 11:00:00
1735992000000,97890.0,97976.0,97839.0,97870.0,0.11173423,2025-01-04 12:00:00
1735995600000,97965.0,97965.0,97800.0,97952.0,0.33606019,2025-01-04 13:00:00
1735999200000,97927.0,98056.0,97842.0,98056.0,0.00748655,2025-01-04 14:00:00
1736002800000,97987.0,98026.0,97560.0,97560.0,0.05292111,2025-01-04 15:00:00
1736006400000,97723.0,97846.0,97715.0,97725.0,0.017812,2025-01-04 16:00:00
1736010000000,97725.0,97725.0,97725.0,97725.0,0.0,2025-01-04 17:00:00
1736013600000,97982.0,98074.0,97939.0,97963.0,0.11757186,2025-01-04 18:00:00
1736017200000,98133.0,98285.0,98102.0,98186.0,0.10025074,2025-01-04 19:00:00
1736020800000,98364.0,98600.0,98305.0,98591.0,6.45723212,2025-01-04 20:00:00
1736024400000,98484.0,98484.0,98355.0,98355.0,0.02903771,2025-01-04 21:00:00
1736028000000,98346.0,98346.0,98268.0,98268.0,0.026669,2025-01-04 22:00:00
1736031600000,98252.0,98252.0,98197.0,98231.0,0.09901773,2025-01-04 23:00:00
1736035200000,98245.0,98327.0,98170.0,98210.0,0.33536694,2025-01-05 00:00:00
1736038800000,98220.0,98309.0,98054.0,98064.0,0.49901477,2025-01-05 01:00:00
1736042400000,98107.0,98216.0,98107.0,98216.0,0.00882662,2025-01-05 02:00:00
1736046000000,98191.0,98191.0,98119.0,98155.0,0.01723412,2025-01-05 03:00:00
1736049600000,98306.0,98449.0,98254.0,98383.0,0.07010916,2025-01-05 04:00:00
1736053200000,98339.0,98485.0,98294.0,98366.0,0.07537698,2025-01-05 05:00:00
1736056800000,98310.0,98389.0,98310.0,98389.0,0.00647675,2025-01-05 06:00:00
1736060400000,98458.0,98466.0,98283.0,98283.0,0.0271982,2025-01-05 07:00:00
1736064000000,98225.0,98225.0,97817.0,97837.0,0.08009393,2025-01-05 08:00:00
1736067600000,97893.0,97944.0,97692.0,97692.0,0.01853706,2025-01-05 09:00:00
1736071200000,97757.0,97761.0,97647.0,97719.0,0.07606557,2025-01-05 10:00:00
1736074800000,97722.0,97722.0,97722.0,97722.0,0.00183222,2025-01-05 11:00:00
1736078400000,97719.0,97888.0,97686.0,97839.0,0.04044265,2025-01-05 12:00:00
1736082000000,97748.0,97961.0,97739.0,97888.0,0.01665633,2025-01-05 13:00:00
1736085600000,97674.0,97874.0,97465.0,97804.0,0.12979555,2025-01-05 14:00:00
1736089200000,97922.0,98104.0,97792.0,97996.0,0.01224343,2025-01-05 15:00:00
1736092800000,98249.0,98269.0,98004.0,98013.0,0.01659968,2025-01-05 16:00:00
1736096400000,98043.0,98064.0,97686.0,97725.0,0.28877466,2025-01-05 17:00:00
1736100000000,97608.0,97874.0,97608.0,97874.0,0.01032388,2025-01-05 18:00:00
1736103600000,97935.0,98065.0,97934.0,98063.0,0.27607377,2025-01-05 19:00:00
1736107200000,98098.0,98528.0,98098.0,98219.0,0.02879236,2025-01-05 20:00:00
1736110800000,98338.0,98516.0,98338.0,98516.0,0.20204405,2025-01-05 21:00:00
1736114400000,98413.0,98681.0,98394.0,98681.0,0.27680816,2025-01-05 22:00:00
1736118000000,98741.0,98741.0,98385.0,98385.0,0.00661914,2025-01-05 23:00:00
