,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0,0.6042902188376599,2023-01-01 10:00:00+00:00,16548.34,0.0,2023-01-01 11:00:00+00:00,16556.66,0.0,5.027694620730472,0.0005027694620730472,Long,Closed,0
1,1,0,0.6047913910478265,2023-01-01 14:00:00+00:00,16542.94,0.0,2023-01-01 15:00:00+00:00,16558.73,0.0,9.549656064646115,0.0009544857201925138,Long,Closed,1
2,2,0,0.5989210802615256,2023-01-03 11:00:00+00:00,16721.03,0.0,2023-01-03 12:00:00+00:00,16710.85,0.0,-6.097016597062975,-0.0006088141699405525,Long,Closed,2
3,3,0,0.5936051916662207,2023-01-04 04:00:00+00:00,16860.5,0.0,2023-01-04 05:00:00+00:00,16857.57,0.0,-1.7392632115806919,-0.0001737789508020374,Long,Closed,3
4,4,0,0.5945122533100481,2023-01-05 23:00:00+00:00,16831.85,0.0,2023-01-06 00:00:00+00:00,16859.78,0.0,16.604727234949678,0.0016593541411074873,Long,Closed,4
5,5,0,0.5920020056446847,2023-01-06 21:00:00+00:00,16931.27,0.0,2023-01-06 22:00:00+00:00,16958.35,0.0,16.031414312856214,0.0015994074868569737,Long,Closed,5
6,6,0,0.5925026771937556,2023-01-08 03:00:00+00:00,16944.02,0.0,2023-01-08 04:00:00+00:00,16934.75,0.0,-5.492499817586577,-0.0005470956715112931,Long,Closed,6
7,7,0,0.5790661606910872,2023-01-10 15:00:00+00:00,17327.7,0.0,2023-01-10 16:00:00+00:00,17302.15,0.0,-14.795140405656639,-0.0014745176797843276,Long,Closed,7
8,8,0,0.4800679234313742,2023-01-15 19:00:00+00:00,20870.15,0.0,2023-01-15 20:00:00+00:00,20905.69,0.0,17.061613998748726,0.0017029106163585397,Long,Closed,8
9,9,0,0.47099130472856904,2023-01-16 19:00:00+00:00,21308.57,0.0,2023-01-16 20:00:00+00:00,21292.0,0.0,-7.804325919352777,-0.0007776213983388292,Long,Closed,9
10,10,0,0.47548104093370336,2023-01-19 19:00:00+00:00,21090.95,0.0,2023-01-19 20:00:00+00:00,21102.44,0.0,5.46327716032647,0.0005447834260664528,Long,Closed,10
11,11,0,0.44011008388045564,2023-01-23 13:00:00+00:00,22798.41,0.0,2023-01-23 14:00:00+00:00,22622.05,0.0,-77.61781439315746,-0.00773562717750934,Long,Closed,11
12,12,0,0.42200577398576505,2023-01-25 21:00:00+00:00,23592.55,0.0,2023-01-25 22:00:00+00:00,22932.2,0.0,-278.67151285149885,-0.02798976795640986,Long,Closed,12
13,13,0,0.42135423505034303,2023-01-27 14:00:00+00:00,22967.66,0.0,2023-01-27 15:00:00+00:00,22933.96,0.0,-14.199637721196268,-0.0014672805152984372,Long,Closed,13
14,14,0,0.4177880740655384,2023-01-27 16:00:00+00:00,23129.72,0.0,2023-01-27 17:00:00+00:00,23204.74,0.0,31.34246131639702,0.0032434460944620507,Long,Closed,14
15,15,0,0.4172921014255814,2023-01-29 01:00:00+00:00,23232.32,0.0,2023-01-29 02:00:00+00:00,23143.08,0.0,-37.23914713121849,-0.00384120053442786,Long,Closed,15
16,16,0,0.4176761535287194,2023-01-31 15:00:00+00:00,23121.8,0.0,2023-01-31 16:00:00+00:00,23109.17,0.0,-5.27524981906754,-0.0005462377496561493,Long,Closed,16
17,17,0,0.4094559112837159,2023-02-01 20:00:00+00:00,23573.11,0.0,2023-02-01 21:00:00+00:00,23681.05,0.0,44.19667106396264,0.0045789460957843895,Long,Closed,17
18,18,0,0.4135667713301839,2023-02-04 18:00:00+00:00,23445.66,0.0,2023-02-04 19:00:00+00:00,23425.89,0.0,-8.176215069197497,-0.0008432264222887913,Long,Closed,18
19,19,0,0.42065724775817853,2023-02-06 19:00:00+00:00,23031.03,0.0,2023-02-06 20:00:00+00:00,23005.84,0.0,-10.596356071027913,-0.0010937417909662993,Long,Closed,19
20,20,0,0.4210659440949191,2023-02-07 10:00:00+00:00,22983.51,0.0,2023-02-07 11:00:00+00:00,22977.24,0.0,-2.6400834694741206,-0.00027280428446297246,Long,Closed,20
21,21,0,0.4448032486398599,2023-02-11 14:00:00+00:00,21751.04,0.0,2023-02-11 15:00:00+00:00,21735.78,0.0,-6.7876975742456125,-0.0007015756487967027,Long,Closed,21
22,22,0,0.4450192497718687,2023-02-14 05:00:00+00:00,21725.23,0.0,2023-02-14 06:00:00+00:00,21744.02,0.0,8.361911703213991,0.0008648930299012393,Long,Closed,22
23,23,0,0.3898528929396859,2023-02-17 20:00:00+00:00,24820.92,0.0,2023-02-17 21:00:00+00:00,24476.42,0.0,-134.30432161772296,-0.013879421069001594,Long,Closed,23
24,24,0,0.3833749757254634,2023-02-20 11:00:00+00:00,24890.0,0.0,2023-02-20 12:00:00+00:00,24815.98,0.0,-28.377415703200313,-0.002973885094415586,Long,Closed,24
25,25,0,0.38798305999629645,2023-02-23 04:00:00+00:00,24521.24,0.0,2023-02-23 05:00:00+00:00,24391.34,0.0,-50.398999493518204,-0.0052974482530246505,Long,Closed,25
26,26,0,0.4076510155755928,2023-02-26 03:00:00+00:00,23214.53,0.0,2023-02-26 04:00:00+00:00,23189.27,0.0,-10.297264653439925,-0.0010881116266407765,Long,Closed,26
27,27,0,0.40257552248104694,2023-02-28 18:00:00+00:00,23481.63,0.0,2023-02-28 19:00:00+00:00,23264.36,0.0,-87.46758376945763,-0.00925276482084086,Long,Closed,27
28,28,0,0.3949080025175838,2023-03-01 07:00:00+00:00,23716.06,0.0,2023-03-01 08:00:00+00:00,23867.78,0.0,59.915442141966196,0.006397352679998107,Long,Closed,28
29,29,0,0.4218621454316643,2023-03-04 14:00:00+00:00,22342.79,0.0,2023-03-04 15:00:00+00:00,22317.87,0.0,-10.512804664158466,-0.001115348620293316,Long,Closed,29
30,30,0,0.4195525065211772,2023-03-05 04:00:00+00:00,22440.73,0.0,2023-03-05 05:00:00+00:00,22418.99,0.0,-9.121071491768816,-0.0009687741887182923,Long,Closed,30
31,31,0,0.41705175747949574,2023-03-06 15:00:00+00:00,22553.42,0.0,2023-03-06 16:00:00+00:00,22524.46,0.0,-12.077818896605095,-0.001284062461480226,Long,Closed,31
32,32,0,0.4563063926689061,2023-03-11 01:00:00+00:00,20586.75,0.0,2023-03-11 02:00:00+00:00,20492.43,0.0,-43.03881895653103,-0.0045815876716820084,Long,Closed,32
33,33,0,0.45951363727284694,2023-03-11 20:00:00+00:00,20349.4,0.0,2023-03-11 21:00:00+00:00,20353.91,0.0,2.07240650409949,0.0002216281561125987,Long,Closed,33
34,34,0,0.37675900846917987,2023-03-16 11:00:00+00:00,24824.62,0.0,2023-03-16 12:00:00+00:00,24720.18,0.0,-39.34871084452061,-0.004207113744339232,Long,Closed,34
35,35,0,0.33353963028028677,2023-03-19 16:00:00+00:00,27923.37,0.0,2023-03-19 17:00:00+00:00,27897.98,0.0,-8.468571212815732,-0.0009092742029345941,Long,Closed,35
36,36,0,0.33486827735870733,2023-03-21 03:00:00+00:00,27787.29,0.0,2023-03-21 04:00:00+00:00,27906.81,0.0,40.02345650991265,0.004301247080949594,Long,Closed,36
37,37,0,0.3332650545762802,2023-03-21 15:00:00+00:00,28041.06,0.0,2023-03-21 16:00:00+00:00,28343.92,0.0,100.93265442897246,0.010800590277257733,Long,Closed,37
38,38,0,0.3318479297250275,2023-03-23 16:00:00+00:00,28464.960000000003,0.0,2023-03-23 17:00:00+00:00,28297.16,0.0,-55.684082607860546,-0.005894967005047707,Long,Closed,38
39,39,0,0.3415086462473964,2023-03-26 06:00:00+00:00,27496.68,0.0,2023-03-26 07:00:00+00:00,27504.94,0.0,2.820861418003915,0.0003003999028246767,Long,Closed,39
40,40,0,0.34398161746776906,2023-03-28 20:00:00+00:00,27307.2,0.0,2023-03-28 21:00:00+00:00,27190.54,0.0,-40.12889549378997,-0.004272133356770379,Long,Closed,40
41,41,0,0.3300935617785816,2023-03-31 17:00:00+00:00,28334.529999999995,0.0,2023-03-31 18:00:00+00:00,28315.5,0.0,-6.281680480646173,-0.0006716186928104786,Long,Closed,41
42,42,0,0.3338721519433952,2023-04-03 14:00:00+00:00,27995.04,0.0,2023-04-03 15:00:00+00:00,28051.48,0.0,18.843744255684214,0.0020160714183654308,Long,Closed,42
43,43,0,0.33106281028441314,2023-04-04 11:00:00+00:00,28289.52,0.0,2023-04-04 12:00:00+00:00,28267.68,0.0,-7.230411776610708,-0.0007720173406970977,Long,Closed,43
44,44,0,0.33355458611995936,2023-04-07 01:00:00+00:00,28056.51,0.0,2023-04-07 02:00:00+00:00,28017.22,0.0,-13.105359688652243,-0.0014003880026417085,Long,Closed,44
45,45,0,0.33208836887109056,2023-04-08 05:00:00+00:00,28140.919999999995,0.0,2023-04-08 06:00:00+00:00,28113.12,0.0,-9.232056654615008,-0.0009878852574825578,Long,Closed,45
46,46,0,0.3320705328392098,2023-04-09 20:00:00+00:00,28114.63,0.0,2023-04-09 21:00:00+00:00,28437.19,0.0,107.11267107261483,0.011473030233725215,Long,Closed,46
47,47,0,0.3136730689886839,2023-04-13 05:00:00+00:00,30105.079999999998,0.0,2023-04-13 06:00:00+00:00,30016.54,0.0,-27.772613528257352,-0.0029410318790050616,Long,Closed,47
48,48,0,0.30891946278799765,2023-04-16 18:00:00+00:00,30478.43,0.0,2023-04-16 19:00:00+00:00,30309.06,0.0,-52.32168941240343,-0.005557044769038329,Long,Closed,48
49,49,0,0.3131535206158677,2023-04-18 10:00:00+00:00,29899.259999999995,0.0,2023-04-18 11:00:00+00:00,30380.59,0.0,150.73018407803647,0.016098391732772076,Long,Closed,49
50,50,0,0.3444203396017691,2023-04-22 19:00:00+00:00,27622.61,0.0,2023-04-22 20:00:00+00:00,27634.45,0.0,4.077936820884133,0.00042863436872901,Long,Closed,50
51,51,0,0.3424865872668665,2023-04-24 03:00:00+00:00,27790.48,0.0,2023-04-24 04:00:00+00:00,27702.34,0.0,-30.186767801702445,-0.0031715896954641457,Long,Closed,51
52,52,0,0.34403498650380077,2023-04-25 18:00:00+00:00,27577.66,0.0,2023-04-25 19:00:00+00:00,27611.4,0.0,11.607740444638694,0.0012234540566531506,Long,Closed,52
53,53,0,0.31906655039516985,2023-04-27 18:00:00+00:00,29772.12,0.0,2023-04-27 19:00:00+00:00,29673.98,0.0,-31.31319125578193,-0.003296372579446807,Long,Closed,53
54,54,0,0.3223397007657891,2023-04-29 04:00:00+00:00,29372.659999999996,0.0,2023-04-29 05:00:00+00:00,29356.03,0.0,-5.36050922373397,-0.0005661727606555409,Long,Closed,54
55,55,0,0.3230386855162473,2023-04-30 13:00:00+00:00,29292.509999999995,0.0,2023-04-30 14:00:00+00:00,29395.01,0.0,33.11146526541597,0.0034991880176878645,Long,Closed,55
56,56,0,0.3335510724854188,2023-05-02 16:00:00+00:00,28468.579999999998,0.0,2023-05-02 17:00:00+00:00,28583.52,0.0,38.33836027147481,0.00403743354954839,Long,Closed,56
57,57,0,0.3284645213630883,2023-05-03 23:00:00+00:00,29026.16,0.0,2023-05-04 00:00:00+00:00,29043.94,0.0,5.840099189834291,0.000612550885132435,Long,Closed,57
58,58,0,0.3267314148434226,2023-05-05 05:00:00+00:00,29198.0,0.0,2023-05-05 06:00:00+00:00,29163.8,0.0,-11.174214387645407,-0.0011713131036372724,Long,Closed,58
59,59,0,0.32805979389763956,2023-05-07 14:00:00+00:00,29045.71,0.0,2023-05-07 15:00:00+00:00,28942.67,0.0,-33.80328116321289,-0.003547511835654915,Long,Closed,59
60,60,0,0.3434066622873048,2023-05-09 20:00:00+00:00,27649.22,0.0,2023-05-09 21:00:00+00:00,27602.74,0.0,-15.961541663114986,-0.0016810600805376454,Long,Closed,60
61,61,0,0.3539576568649624,2023-05-13 02:00:00+00:00,26779.94,0.0,2023-05-13 03:00:00+00:00,26808.27,0.0,10.027620418984952,0.001057881384349689,Long,Closed,61
62,62,0,0.3535058891171311,2023-05-14 09:00:00+00:00,26842.53,0.0,2023-05-14 10:00:00+00:00,26827.07,0.0,-5.465201045750291,-0.0005759516707254654,Long,Closed,62
63,63,0,0.34655732121506905,2023-05-17 21:00:00+00:00,27364.959999999995,0.0,2023-05-17 22:00:00+00:00,27333.73,0.0,-10.82298514154536,-0.0011412404768724824,Long,Closed,63
64,64,0,0.3530052122388887,2023-05-19 19:00:00+00:00,26834.46,0.0,2023-05-19 20:00:00+00:00,26831.04,0.0,-1.2072778258570906,-0.00012744806491355736,Long,Closed,64
65,65,0,0.3522694532016906,2023-05-20 10:00:00+00:00,26887.08,0.0,2023-05-20 11:00:00+00:00,26880.06,0.0,-2.4729315614767984,-0.0002610919445325651,Long,Closed,65
66,66,0,0.3512603659652842,2023-05-22 14:00:00+00:00,26957.28,0.0,2023-05-22 15:00:00+00:00,26877.18,0.0,-28.135955313819068,-0.0029713680311960053,Long,Closed,66
67,67,0,0.3582765514463606,2023-05-25 17:00:00+00:00,26350.84,0.0,2023-05-25 18:00:00+00:00,26374.54,0.0,8.491154269278923,0.0008994020683970793,Long,Closed,67
68,68,0,0.35187622814487585,2023-05-27 23:00:00+00:00,26854.27,0.0,2023-05-28 00:00:00+00:00,27072.42,0.0,76.76179916980436,0.008123475335579746,Long,Closed,68
69,69,0,0.34143654400630746,2023-05-30 10:00:00+00:00,27900.18,0.0,2023-05-30 11:00:00+00:00,28021.4,0.0,41.388937864445325,0.004344774836578192,Long,Closed,69
70,70,0,0.3523614671971872,2023-06-02 05:00:00+00:00,27152.600000000002,0.0,2023-06-02 06:00:00+00:00,27071.06,0.0,-28.73155403525743,-0.003003027334398789,Long,Closed,70
71,71,0,0.35056094686102174,2023-06-04 12:00:00+00:00,27210.1,0.0,2023-06-04 13:00:00+00:00,27245.46,0.0,12.395835081004407,0.0012995174585906052,Long,Closed,71
72,72,0,0.358136298828463,2023-06-06 17:00:00+00:00,26669.16,0.0,2023-06-06 18:00:00+00:00,26698.08,0.0,10.357301762120187,0.0010843986087301924,Long,Closed,72
73,73,0,0.35782000072698317,2023-06-08 15:00:00+00:00,26721.680000000004,0.0,2023-06-08 16:00:00+00:00,26498.4,0.0,-79.89404976232072,-0.008355762062864302,Long,Closed,73
74,74,0,0.36769864790686485,2023-06-11 06:00:00+00:00,25786.49,0.0,2023-06-11 07:00:00+00:00,25741.33,0.0,-16.605270939473485,-0.001751304656042701,Long,Closed,74
75,75,0,0.3622918550551365,2023-06-13 02:00:00+00:00,26125.49,0.0,2023-06-13 03:00:00+00:00,26063.85,0.0,-22.33166994559906,-0.002359381584804772,Long,Closed,75
76,76,0,0.36336673752503945,2023-06-14 15:00:00+00:00,25986.75,0.0,2023-06-14 16:00:00+00:00,25965.86,0.0,-7.590731146898179,-0.0008038712035941504,Long,Closed,76
77,77,0,0.3681384132704335,2023-06-15 22:00:00+00:00,25629.3,0.0,2023-06-15 23:00:00+00:00,25598.49,0.0,-11.342344512861018,-0.0012021397385023071,Long,Closed,77
78,78,0,0.35561462229128527,2023-06-18 11:00:00+00:00,26500.0,0.0,2023-06-18 12:00:00+00:00,26534.97,0.0,12.43584334152547,0.0013196226415093516,Long,Closed,78
79,79,0,0.3561376560258373,2023-06-19 18:00:00+00:00,26496.0,0.0,2023-06-19 19:00:00+00:00,26682.28,0.0,66.34132256449266,0.007030495169082092,Long,Closed,79
80,80,0,0.3156316628178326,2023-06-23 12:00:00+00:00,30106.5,0.0,2023-06-23 13:00:00+00:00,30077.82,0.0,-9.052316089615488,-0.0009526182053709383,Long,Closed,80
81,81,0,0.3075054867489702,2023-06-25 06:00:00+00:00,30872.66,0.0,2023-06-25 07:00:00+00:00,30723.78,0.0,-45.781416867186635,-0.004822389777881136,Long,Closed,81
